	1713
bardolfe	4
bardolph	8
bardolphs	3
bare	21
bare-fac'd	2
bare-foot	1
bare-gnawn	1
bare-head	1
barefac'd	1
barefoot	4
bareheaded	1
barely	1
bareness	2
barful	1
bargain	2
bargain'd	1
bargaine	5
bargaines	2
bark	17
bark'd	1
barke	9
barks	3
barky	1
barlet	1
barley	1
barly	1
barme	1
barn	1
barnacles	1
barnes	1
barns	1
baron	1
barons	3
barr	1
barr'd	2
barrabas	1
barraine	1
barre	10
barren	19
barrenly	1
barres	1
barricadoes	1
bars	7
bartholomew	1
bartholomew-tyde	1
bas	17
base	49
based	10
baseless	1
baseness	5
basenesse	2
baser	4
bases	1
basest	9
bashful	3
bashfull	1
bashfulnesse	1
basiliskes	1
basilisks	1
basin	2
basins	1
basis	5
bask'd	1
basket	4
baskets	1
bass	60
bassanio	39
bassanio's	3
bassanios	2
bassiano	1
bassiano's	1
bassianos	1
bast	11
basta	2
bastard	32
bastardie	1
bastardizing	1
bastards	4
bastardy	4
basted	1
basterd	1
bastinado	1
bat	4
bat-fowling	1
batcheler	3
batcheller	1
batchellers	1
batchellor	3
batchellour	1
batchelour	1
bate	6
bated	5
bates	9
bath	6
bath'd	2
bathe	3
bating	1
batler	1
bats	1
batt'rie	1
battaile	19
battaile's	1
battailes	5
battalia	1
battalions	1
battell	6
batten	1
batter	1
batter'd	1
battering	1
battery	2
battie-wings	1
battle	20
battle's	1
battlements	6
battles	1
bat’s	1
bauble	4
baud	2
baudy	1
baulked	1
bawbling	1
bawcock	3
bawd	7
bawdry	2
bawds	2
bawdy	2
bawdy-house	1
bawling	1
bay	10
bay'd	1
bayed	2
baynard's	3
be	2950
be'st	2
be't	1
be,--that	1
be--but	1
be--i	1
be-gnaw	1
be-guil'd	1
be-guile	1
be-leed	1
be-lye-her	1
be.--horatio	1
be.--sleeping	1
bea	9
beach	3
beached	1
beacon	1
bead	1
beadle	2
beads	3
beagle	1
beak	1
beaks	1
beam	2
beames	5
beams	5
bean	1
bean-fed	1
bear	137
bear'st	2
bear't	2
bear-baiting	2
bear-herd	1
beard	56
beard.--pr'ythee	1
bearded	2
beards	9
beare	90
beare-like	1
bearer	1
bearers	4
beares	22
beareth	1
bearing	23
bears	22
beast	38
beast's	1
beastly	3
beasts	13
beat	121
beate	6
beated	1
beaten	15
beates	2
beating	8
beatr	5
beatrice	60
beats	12
beau	22
beaumont	3
beauteous	23
beauteous-evil	1
beautie	12
beautied	1
beauties	12
beautified	2
beautiful	7
beautifull	2
beautify	1
beautious	1
beauty	100
beauty's	23
beauty,--i	1
beauty-waning	1
beauty’s	1
beaver	2
became	6
because	77
bechaunc'd	1
beck	3
beckons	3
become	47
becomed	1
becomes	25
becoming	2
bed	153
bed-chamber	1
bed-fellow	1
bed-fellows	1
bed-rid	1
bed-right	2
bed-rite	1
bed-roome	1
bed-time	1
bed-vow	1
bedabbled	1
bedash'd	1
bedaub'd	1
bedazzled	1
bedchamber	1
bedded	2
bedeck	1
bedf	3
bedfellow	5
bedfellows	1
bedford	9
bedimm’d	1
bedlam	4
beds	9
bedtime	1
bee	35
bee'st	3
bee't	1
beef	6
beefe	3
beefes	1
been	183
beene	52
beer-barrel	1
beere	1
bees	4
beest	12
beetle	2
beetle-headed	1
beetles	4
befall	8
befall'n	2
befalls	1
befalne	2
befell	1
befits	4
befitted	1
befitting	1
befor't	1
before	327
befriend	1
befriends	1
beg	33
beg'd	4
began	17
began't	1
beganst	1
beget	9
begg'd	6
beggar	24
beggar'd	2
beggar's	1
beggarly	5
beggarman	1
beggars	10
beggary	2
begge	7
begged	2
begger	2
begger'd	3
beggerie	1
beggerly	3
beggers	2
begging	3
begin	51
begining	1
beginners	1
beginning	13
beginnings	1
begins	26
begnawn	1
begone	2
begot	9
begotten	1
begrim'd	1
begs	2
beguil'd	10
beguile	14
beguiled	1
beguiling	1
begun	15
behalf	8
behalfe	6
behau'd	1
behauiour	2
behauiours	4
behav'd	1
behaviour	14
beheaded	1
beheld	8
behests	1
behind	46
behinde	14
behold	64
beholders	2
beholding	11
beholds	1
beholdst	1
behooffull	1
behooves	1
behove	1
being	272
belario	1
belch	19
beldams	1
beleefe	3
beleeu'd	2
beleeu't	1
beleeue	37
beleeue't	1
beleeuing	1
belie	1
belied	5
belief	3
beliest	1
believ'd	3
believe	70
believed	1
believes	2
believing	1
belike	15
bell	22
bell-man	1
bell-wether	1
bellario	7
bellarioes	1
belle	1
bellie	1
bellied	1
bellona's	1
bellow	1
bellowed	2
bellowes-mender	3
bellowing	2
bells	6
belly	6
belly-pinched	1
bellyful	1
belman	1
belmont	7
belong	4
belong'd	1
belonging	2
belongs	6
belou'd	3
beloued	1
belov'd	7
belov'd.--how	1
beloved	15
belov’d	1
below	29
bels	3
belt	1
bely	1
belyed	1
belzebub	3
bemadding	1
bemet	1
bemete	1
bemock’d-at	1
bemoil'd	1
bemonster	1
ben	99
bench	4
benches	1
bend	18
bended	2
bending	10
bends	1
bene	104
beneath	13
bened	10
benedicite	1
benedick	5
benedicke	56
benedicks	3
benedict	1
benediction	4
benedictus	4
benefice	1
beneficiall	1
benefit	13
benefited	1
benefits	4
benetted	1
benison	2
bennet	1
bent	17
bent.--i	1
bentivolii	1
benvolio	17
benyson	1
bepaint	1
bequeath	2
bequeathed	1
bequeathing	2
bequest	1
ber	21
berattle	1
bereaved	1
bereft	6
bergamo	1
bergomask	1
berhym'd	1
berhyme	1
berkeley	3
berlaken	1
bermoothes	2
bermudas	1
bernardo	9
berries	3
berrord	1
berry	3
berryes	1
bescreen'd	1
beseech	87
beseech'd	2
beseechers	1
beseeching	1
beseem	2
beseeming	1
beset	4
beshrew	16
beshrow	1
beside	10
besides	51
besiege	3
besmear'd	1
besmeare	2
besmeared	1
besmirch	1
besmyrcht	1
besort	2
bespake	1
bespeak	3
bespeake	1
bespoke	1
bessy	1
best	202
bestial	2
bestiall	1
bestir	2
bestirr'd	1
bestow	23
bestow'd	5
bestow'st	1
bestow't	1
bestowed	11
bestowes	3
bestows	1
bestraught	1
bestrew	2
bestrew'd	1
bestride	3
bestrides	1
bestryde	1
bet	1
betake	3
beteem	1
beteeme	1
bethink	6
bethinke	6
bethought	3
betid	2
betide	5
betimes	11
betoken	1
betossed	1
betray	9
betray'd	3
betray's	1
betrayed	1
betraying	1
betrims	1
betroth'd	4
betrothed	1
betrothes	1
bett'ring	2
better	259
better'd	2
better,--their	1
bettered	1
bettering	1
betters	5
betting	1
bettre	1
bettred	2
between	60
betweene	38
betwixt	16
beuer	1
beumont	1
bevel	1
bevy	1
bewaile	1
bewailed	1
beware	16
beweep	3
bewept	3
bewhor'd	1
bewitch'd	2
bewitched	2
bewray	2
beyond	19
be’st	5
be’t	2
bian	14
bianca	96
bianca's	6
bias	4
bibble-babble	1
bid	175
bidde	1
bidden	1
bidding	8
biddy	1
bide	8
bides	1
biding	1
bids	25
bien	3
bier	4
big	12
bigamy	1
bigge	3
bigger	8
bil	1
bilboes	1
bilbow	1
bill	9
billes	2
billited	1
billow	2
billowes	1
billows	2
bills	5
bils	2
bin	31
binary	5
bind	8
binde	8
binds	1
biondello	73
bird	21
bird's	2
bird-bolts	1
birdlyme	1
birds	14
birladie	2
birlady	1
birnan	1
birnane	2
birth	34
birth,--wherein	1
birth-day	1
birth-strangled	1
birth.--what	1
birthdome	1
births	2
